,imdb_code,url,genero,titulo
0,tt21326658,https://www.imdb.com/title/tt21326658/?ref_=rlm,"['Drama', 'Mystery', 'Thriller']",O Som do Caos (2023)
1,tt19855324,https://www.imdb.com/title/tt19855324/?ref_=rlm,['Drama'],Island City (2022)
2,tt16419074,https://www.imdb.com/title/tt16419074/?ref_=rlm,['Drama'],Air: A História Por Trás do Logo (2023)
3,tt2316548,https://www.imdb.com/title/tt2316548/?ref_=rlm,"['Drama', 'Romance']",Beautiful Disaster (2023)
4,tt14589900,https://www.imdb.com/title/tt14589900/?ref_=rlm,"['Drama', 'History']",O Pastor e o Guerrilheiro (2023)
5,tt3679040,https://www.imdb.com/title/tt3679040/?ref_=rlm,"['Action', 'Comedy', 'Drama']",Kisi Ka Bhai Kisi Ki Jaan (2023)
6,tt6528290,https://www.imdb.com/title/tt6528290/?ref_=rlm,"['Action', 'Adventure', 'Drama']",Knights of the Zodiac (2023)
7,tt10276482,https://www.imdb.com/title/tt10276482/?ref_=rlm,"['Comedy', 'Drama', 'Romance']",Love Again (2023)
8,tt13405778,https://www.imdb.com/title/tt13405778/?ref_=rlm,"['Drama', 'Horror', 'Mystery']",Insidious: Fear the Dark (2023)
9,tt10767052,https://www.imdb.com/title/tt10767052/?ref_=rlm,"['Comedy', 'Drama', 'Sport']",Next Goal Wins (2023)
10,tt10923334,https://www.imdb.com/title/tt10923334/?ref_=rlm,['Drama'],Herseye Ragmen (2022)
11,tt1200263,https://www.imdb.com/title/tt1200263/?ref_=rlm,"['Drama', 'Musical']",The Color Purple (2023)
